Size of Array,Ascending Array Best Case,Descending Array Best Case,Random Array Best Case,,Ascending Array Worst Case,Descending Array Worst Case,Random Array Worst Case
100,33372,19262,19386,,56705,16373,18720
200,51723,52777,39442,,59557,37900,35362
300,64026,70567,65164,,93187,62548,56655
400,82438,73554,70357,,94377,90692,70896
500,153541,99825,86626,,134116,116880,87197
600,205456,122217,97725,,113326,151457,101975
700,349324,162573,126882,,113156,204063,134141
800,489944,188414,143634,,181560,278539,150544
900,287609,232976,160533,,264206,238574,144594
1000,270823,295302,181381,,306913,231986,201240